,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,
1,0.960526316,0.026315789,0,0.013157895,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0.000694686,0.983674887,0.010420285,0.003473428,0,0.000694686,0.000347343,0,0.000347343,0.000347343,0,0,0,0,0,0,0,
3,0,0.000952302,0.984721762,0.011965883,0.000828089,0.000579662,0.000124213,0.000165618,0.000331236,0.000207022,4.14E-05,0,4.14E-05,4.14E-05,0,0,0,
4,7.54E-06,3.02E-05,0.00110143,0.994440044,0.002874279,0.001154238,0.000218777,5.28E-05,1.51E-05,3.02E-05,7.54E-06,7.54E-06,7.54E-06,1.51E-05,0,0,3.77E-05,
5,0,0,6.50E-05,0.006695703,0.97962036,0.010531106,0.002372749,0.000357538,9.75E-05,0.000162517,0,0,6.50E-05,0,0,0,3.25E-05,
6,0,1.99E-05,0.000478669,0.002393346,0.00626259,0.979457109,0.008755659,0.001894733,0.000179501,0.000239335,1.99E-05,0,0.000119667,3.99E-05,0,0,0.000139612,
7,0,0,0.000105355,0.000711144,0.001395949,0.007927937,0.978191587,0.009139516,0.001474965,0.000421419,5.27E-05,0.000158032,7.90E-05,0.000105355,0.000158032,0,7.90E-05,
8,0,0,0.0001389,0.000166681,0.000250021,0.001944606,0.008639609,0.977914826,0.007972887,0.001916826,0.000444481,0.000194461,0.000361141,0,5.56E-05,0,0,
9,0,4.18E-05,0,4.18E-05,4.18E-05,0.000292801,0.00200778,0.012590455,0.97214205,0.009871586,0.001589493,0.000794746,0.000250973,4.18E-05,0.000209144,0,8.37E-05,
10,0,0,0.000194062,0,0.000194062,0.000436639,0.000727731,0.003250534,0.011740734,0.970696682,0.008975354,0.002425771,0.000776247,0.000145546,0.000194062,0,0.000242577,
11,0,0,0,9.47E-05,9.47E-05,9.47E-05,0.00037868,0.001420051,0.004260153,0.014863202,0.966960144,0.009940358,0.001798731,0,0,0,9.47E-05,
12,0,0,0,0,7.55E-05,0,0.00015108,7.55E-05,0.000755401,0.002794984,0.009593594,0.980132951,0.004985647,0.000906481,0.00015108,0,0.000377701,
13,0,0,0,0,0,0,0.000327654,0.000655308,0.001965924,0.002948886,0.00163827,0.01965924,0.96395806,0.005897772,0.001310616,0,0.00163827,
14,0,0,0,0.00317965,0,0,0,0,0,0.001589825,0,0.001589825,0.0063593,0.965023847,0.017488076,0,0.004769475,
15,0,0,0,0,0,0,0,0,0,0.001703578,0,0.00681431,0,0.005110733,0.969335605,0,0.017035775,
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
